Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
1117;RSN1117_KOBE_TOT000.AT2;RSN1117_KOBE_TOT090.AT2;6.9;119.64;609.0;unspecified;3.66
1417;RSN1417_CHICHI_TAP013-N.AT2;RSN1417_CHICHI_TAP013-E.AT2;7.62;100.84;205.11;reverse;3.06
1235;RSN1235_CHICHI_CHY087-E.AT2;RSN1235_CHICHI_CHY087-N.AT2;7.62;28.79;505.2;reverse;3.1
1312;RSN1312_CHICHI_ILA006-N.AT2;RSN1312_CHICHI_ILA006-W.AT2;7.62;82.69;279.41;reverse;3.05
752;RSN752_LOMAP_CAP000.AT2;RSN752_LOMAP_CAP090.AT2;6.93;8.65;288.62;reverse;0.81
3276;RSN3276_CHICHI.06_CHY037N.AT2;RSN3276_CHICHI.06_CHY037E.AT2;6.3;52.75;212.14;normal;2.43
3965;RSN3965_TOTTORI_TTR008NS.AT2;RSN3965_TOTTORI_TTR008EW.AT2;6.61;6.86;139.21;unspecified;0.74
180;RSN180_IMPVALL.H_H-E05140.AT2;RSN180_IMPVALL.H_H-E05230.AT2;6.53;1.76;205.63;unspecified;0.99
4842;RSN4842_CHUETSU_65005NS.AT2;RSN4842_CHUETSU_65005EW.AT2;6.8;18.6;655.45;normal;2.71
1602;RSN1602_DUZCE_BOL000.AT2;RSN1602_DUZCE_BOL090.AT2;7.14;12.02;293.57;unspecified;0.62
4159;RSN4159_NIIGATA_FKS028NS.AT2;RSN4159_NIIGATA_FKS028EW.AT2;6.63;30.11;305.54;normal;2.84
2658;RSN2658_CHICHI.03_TCU129N.AT2;RSN2658_CHICHI.03_TCU129E.AT2;6.2;10.95;511.18;normal;1.72
457;RSN457_MORGAN_G03000.AT2;RSN457_MORGAN_G03090.AT2;6.19;13.01;349.85;unspecified;3.08
811;RSN811_LOMAP_WAH000.AT2;RSN811_LOMAP_WAH090.AT2;6.93;11.03;388.33;reverse;1.04
806;RSN806_LOMAP_SVL270.AT2;RSN806_LOMAP_SVL360.AT2;6.93;23.92;267.71;reverse;1.75
1283;RSN1283_CHICHI_HWA034-E.AT2;RSN1283_CHICHI_HWA034-N.AT2;7.62;39.55;379.18;reverse;3.26
5788;RSN5788_IWATE_54056NS.AT2;RSN5788_IWATE_54056EW.AT2;6.9;74.08;319.66;normal;2.0
5976;RSN5976_SIERRA.MEX_CAL360.AT2;RSN5976_SIERRA.MEX_CAL090.AT2;7.2;54.77;205.78;unspecified;3.5
634;RSN634_WHITTIER.A_A-FLE144.AT2;RSN634_WHITTIER.A_A-FLE234.AT2;5.99;11.07;329.06;reverse;2.13
4110;RSN4110_PARK2004_Z06090.AT2;RSN4110_PARK2004_Z06360.AT2;6.0;0.87;266.65;unspecified;2.86
4099;RSN4099_PARK2004_TM2090.AT2;RSN4099_PARK2004_TM2360.AT2;6.0;3.22;522.74;unspecified;2.75
231;RSN231_MAMMOTH.I_I-LUL000.AT2;RSN231_MAMMOTH.I_I-LUL090.AT2;6.06;12.56;537.16;4;2.1
1074;RSN1074_NORTHR_SAN090.AT2;RSN1074_NORTHR_SAN180.AT2;6.69;41.26;421.0;normal;3.71
8967;RSN8967_14383980_NS698011.AT2;RSN8967_14383980_NS698281.AT2;5.39;4.55;374.19;reverse;3.24
990;RSN990_NORTHR_LAC090.AT2;RSN990_NORTHR_LAC180.AT2;6.69;35.03;365.22;normal;2.63
4851;RSN4851_CHUETSU_65017NS.AT2;RSN4851_CHUETSU_65017EW.AT2;6.8;34.95;572.37;normal;3.54
1269;RSN1269_CHICHI_HWA019-E.AT2;RSN1269_CHICHI_HWA019-N.AT2;7.62;51.87;494.82;reverse;2.18
1264;RSN1264_CHICHI_HWA013-E.AT2;RSN1264_CHICHI_HWA013-N.AT2;7.62;50.5;330.55;reverse;1.84
1162;RSN1162_KOCAELI_GYN000.AT2;RSN1162_KOCAELI_GYN090.AT2;7.51;31.74;347.62;unspecified;3.77
5665;RSN5665_IWATE_MYG006NS.AT2;RSN5665_IWATE_MYG006EW.AT2;6.9;30.38;146.72;normal;1.04
