Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
732;RSN732_LOMAP_A02043.AT2;RSN732_LOMAP_A02133.AT2;6.93;43.06;133.11;reverse;2.54
727;RSN727_SUPER.B_B-SUP045.AT2;RSN727_SUPER.B_B-SUP135.AT2;6.54;5.61;362.38;unspecified;2.89
174;RSN174_IMPVALL.H_H-E11140.AT2;RSN174_IMPVALL.H_H-E11230.AT2;6.53;12.56;196.25;unspecified;3.83
4031;RSN4031_SANSIMEO_36695090.AT2;RSN4031_SANSIMEO_36695360.AT2;6.52;5.07;410.66;normal;3.56
5782;RSN5782_IWATE_54020NS.AT2;RSN5782_IWATE_54020EW.AT2;6.9;47.01;291.76;normal;3.82
5991;RSN5991_SIERRA.MEX_E10320.AT2;RSN5991_SIERRA.MEX_E10230.AT2;7.2;19.36;202.85;unspecified;2.29
4862;RSN4862_CHUETSU_65035NS.AT2;RSN4862_CHUETSU_65035EW.AT2;6.8;10.61;336.93;normal;3.33
1231;RSN1231_CHICHI_CHY080-E.AT2;RSN1231_CHICHI_CHY080-N.AT2;7.62;0.11;496.21;reverse;0.92
4874;RSN4874_CHUETSU_65057NS.AT2;RSN4874_CHUETSU_65057EW.AT2;6.8;10.31;561.59;normal;1.88
576;RSN576_SMART1.45_45M07EW.AT2;RSN576_SMART1.45_45M07NS.AT2;7.3;55.11;327.61;normal;3.94
900;RSN900_LANDERS_YER270.AT2;RSN900_LANDERS_YER360.AT2;7.28;23.62;353.63;unspecified;3.58
1114;RSN1114_KOBE_PRI000.AT2;RSN1114_KOBE_PRI090.AT2;6.9;3.31;198.0;unspecified;2.01
1003;RSN1003_NORTHR_STN020.AT2;RSN1003_NORTHR_STN110.AT2;6.69;21.17;308.71;normal;3.31
5786;RSN5786_IWATE_54038NS.AT2;RSN5786_IWATE_54038EW.AT2;6.9;34.51;300.21;normal;3.92
8064;RSN8064_CCHURCH_CCCCN26W.AT2;RSN8064_CCHURCH_CCCCN64E.AT2;6.2;3.22;198.0;reverse;1.55
4894;RSN4894_CHUETSU_1-G1NS.AT2;RSN4894_CHUETSU_1-G1EW.AT2;6.8;0.0;329.0;normal;0.91
778;RSN778_LOMAP_HDA165.AT2;RSN778_LOMAP_HDA255.AT2;6.93;24.52;215.54;reverse;3.04
5778;RSN5778_IWATE_54012NS.AT2;RSN5778_IWATE_54012EW.AT2;6.9;40.98;436.34;normal;3.23
741;RSN741_LOMAP_BRN000.AT2;RSN741_LOMAP_BRN090.AT2;6.93;3.85;476.54;reverse;2.2
5823;RSN5823_SIERRA.MEX_CHI000.AT2;RSN5823_SIERRA.MEX_CHI090.AT2;7.2;18.21;242.05;unspecified;3.82
8123;RSN8123_CCHURCH_REHSN02E.AT2;RSN8123_CCHURCH_REHSS88E.AT2;6.2;5.11;141.0;reverse;1.39
1013;RSN1013_NORTHR_LDM064.AT2;RSN1013_NORTHR_LDM334.AT2;6.69;0.0;628.99;normal;2.27
265;RSN265_VICT_CPE045.AT2;RSN265_VICT_CPE315.AT2;6.33;13.8;471.53;unspecified;3.22
784;RSN784_LOMAP_TIB200.AT2;RSN784_LOMAP_TIB290.AT2;6.93;72.09;306.3;reverse;3.51
1202;RSN1202_CHICHI_CHY035-E.AT2;RSN1202_CHICHI_CHY035-N.AT2;7.62;12.6;573.04;reverse;2.38
569;RSN569_SANSALV_NGI180.AT2;RSN569_SANSALV_NGI270.AT2;5.8;3.71;455.93;unspecified;1.82
787;RSN787_LOMAP_SLC270.AT2;RSN787_LOMAP_SLC360.AT2;6.93;30.62;425.3;reverse;3.7
4865;RSN4865_CHUETSU_65038NS.AT2;RSN4865_CHUETSU_65038EW.AT2;6.8;5.0;561.59;normal;2.97
415;RSN415_COALINGA_D-TSM270.AT2;RSN415_COALINGA_D-TSM360.AT2;5.77;3.7;477.25;normal;2.74
2114;RSN2114_DENALI_PS10-047.AT2;RSN2114_DENALI_PS10-317.AT2;7.9;0.18;329.4;unspecified;2.21
