Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
625;RSN625_WHITTIER.A_A-ING000.AT2;RSN625_WHITTIER.A_A-ING090.AT2;5.99;21.41;316.02;reverse;1.38
1498;RSN1498_CHICHI_TCU059-E.AT2;RSN1498_CHICHI_TCU059-N.AT2;7.62;17.11;272.67;reverse;0.58
1033;RSN1033_NORTHR_LIT090.AT2;RSN1033_NORTHR_LIT180.AT2;6.69;46.31;485.67;normal;2.78
1323;RSN1323_CHICHI_ILA027-E.AT2;RSN1323_CHICHI_ILA027-N.AT2;7.62;80.79;215.0;reverse;1.22
4873;RSN4873_CHUETSU_65056NS.AT2;RSN4873_CHUETSU_65056EW.AT2;6.8;10.38;561.59;normal;0.59
1107;RSN1107_KOBE_KAK000.AT2;RSN1107_KOBE_KAK090.AT2;6.9;22.5;312.0;unspecified;0.73
4472;RSN4472_L-AQUILA_TK003XTE.AT2;RSN4472_L-AQUILA_TK003YLN.AT2;6.3;17.82;612.78;strike-slip;3.75
1338;RSN1338_CHICHI_ILA050-E.AT2;RSN1338_CHICHI_ILA050-N.AT2;7.62;63.82;621.06;reverse;3.0
407;RSN407_COALINGA_D-OLC270.AT2;RSN407_COALINGA_D-OLC360.AT2;5.77;1.99;398.49;normal;0.61
5795;RSN5795_IWATE_54083NS.AT2;RSN5795_IWATE_54083EW.AT2;6.9;55.62;502.99;normal;2.23
788;RSN788_LOMAP_PJH045.AT2;RSN788_LOMAP_PJH315.AT2;6.93;72.9;895.36;reverse;2.25
1050;RSN1050_NORTHR_PAC175.AT2;RSN1050_NORTHR_PAC265.AT2;6.69;4.92;2016.13;normal;0.65
5829;RSN5829_SIERRA.MEX_RII000.AT2;RSN5829_SIERRA.MEX_RII090.AT2;7.2;13.7;242.05;unspecified;0.46
5775;RSN5775_IWATE_54009NS.AT2;RSN5775_IWATE_54009EW.AT2;6.9;28.9;561.59;normal;1.26
1484;RSN1484_CHICHI_TCU042-E.AT2;RSN1484_CHICHI_TCU042-N.AT2;7.62;26.31;578.98;reverse;0.77
4116;RSN4116_PARK2004_Z14090.AT2;RSN4116_PARK2004_Z14360.AT2;6.0;8.45;246.07;unspecified;0.3
252;RSN252_MAMMOTH.AH_C-XGR056.AT2;RSN252_MAMMOTH.AH_C-XGR146.AT2;4.73;2.84;353.2;unspecified;2.39
1551;RSN1551_CHICHI_TCU138-N.AT2;RSN1551_CHICHI_TCU138-W.AT2;7.62;9.78;652.85;reverse;0.55
629;RSN629_WHITTIER.A_A-CCN000.AT2;RSN629_WHITTIER.A_A-CCN090.AT2;5.99;26.14;277.98;reverse;3.29
2223;RSN2223_CHICHI.02_HWA014N.AT2;RSN2223_CHICHI.02_HWA014E.AT2;5.9;47.84;277.28;normal;3.67
3715;RSN3715_WHITTIER.B_B-GR2090.AT2;RSN3715_WHITTIER.B_B-GR2180.AT2;5.27;16.66;285.28;reverse;2.82
4126;RSN4126_PARK2004_SC1090.AT2;RSN4126_PARK2004_SC1360.AT2;6.0;2.85;260.63;unspecified;0.64
322;RSN322_COALINGA.H_H-CAK270.AT2;RSN322_COALINGA.H_H-CAK360.AT2;6.36;23.78;274.73;normal;0.6
1159;RSN1159_KOCAELI_ERG180.AT2;RSN1159_KOCAELI_ERG090.AT2;7.51;141.37;585.09;unspecified;1.26
1641;RSN1641_SMADRE_ALT000.AT2;RSN1641_SMADRE_ALT090.AT2;5.61;8.57;375.16;normal;1.05
5259;RSN5259_CHUETSU_NIG013NS.AT2;RSN5259_CHUETSU_NIG013EW.AT2;6.8;27.92;174.55;normal;1.26
1059;RSN1059_NORTHR_PTH090.AT2;RSN1059_NORTHR_PTH180.AT2;6.69;47.58;248.98;normal;1.7
1792;RSN1792_HECTOR_IRF360.AT2;RSN1792_HECTOR_IRF090.AT2;7.13;74.0;282.14;unspecified;1.25
8110;RSN8110_CCHURCH_MQZE.AT2;RSN8110_CCHURCH_MQZN.AT2;6.2;13.91;649.67;reverse;3.28
864;RSN864_LANDERS_JOS000.AT2;RSN864_LANDERS_JOS090.AT2;7.28;11.03;379.32;unspecified;0.44
