Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
2492;RSN2492_CHICHI.03_CHY076N.AT2;RSN2492_CHICHI.03_CHY076E.AT2;6.2;59.24;169.84;normal;3.1
610;RSN610_WHITTIER.A_A-ORR000.AT2;RSN610_WHITTIER.A_A-ORR090.AT2;5.99;70.04;450.28;reverse;2.86
6588;RSN6588_NIIGATA_IBR009NS.AT2;RSN6588_NIIGATA_IBR009EW.AT2;6.63;136.6;298.2;normal;2.8
5790;RSN5790_IWATE_54062NS.AT2;RSN5790_IWATE_54062EW.AT2;6.9;87.84;327.45;normal;0.71
230;RSN230_MAMMOTH.I_I-CVK090.AT2;RSN230_MAMMOTH.I_I-CVK180.AT2;6.06;1.1;382.12;4;0.51
339;RSN339_COALINGA.H_H-Z15000.AT2;RSN339_COALINGA.H_H-Z15090.AT2;6.36;28.0;307.59;normal;0.6
4873;RSN4873_CHUETSU_65056NS.AT2;RSN4873_CHUETSU_65056EW.AT2;6.8;10.38;561.59;normal;0.39
767;RSN767_LOMAP_G03000.AT2;RSN767_LOMAP_G03090.AT2;6.93;12.23;349.85;reverse;0.36
552;RSN552_CHALFANT.A_A-SHE009.AT2;RSN552_CHALFANT.A_A-SHE099.AT2;6.19;22.08;456.83;unspecified;2.69
3209;RSN3209_CHICHI.05_TCU112N.AT2;RSN3209_CHICHI.05_TCU112E.AT2;6.2;61.7;190.54;normal;2.43
6928;RSN6928_DARFIELD_LPCCN80E.AT2;RSN6928_DARFIELD_LPCCS10E.AT2;7.0;25.21;649.67;unspecified;0.81
486;RSN486_SMART1.33_33C00EW.AT2;RSN486_SMART1.33_33C00NS.AT2;5.8;41.53;309.41;strike-slip;3.89
2900;RSN2900_CHICHI.04_TCU145N.AT2;RSN2900_CHICHI.04_TCU145W.AT2;6.2;56.35;240.43;unspecified;2.4
5666;RSN5666_IWATE_MYG007NS.AT2;RSN5666_IWATE_MYG007EW.AT2;6.9;45.55;166.75;normal;1.64
1;RSN1_HELENA.A_A-HMC180.AT2;RSN1_HELENA.A_A-HMC270.AT2;6.0;2.07;593.35;unspecified;1.52
709;RSN709_WHITTIER.B_B-DWN180.AT2;RSN709_WHITTIER.B_B-DWN270.AT2;5.27;14.37;271.9;reverse;2.61
252;RSN252_MAMMOTH.AH_C-XGR056.AT2;RSN252_MAMMOTH.AH_C-XGR146.AT2;4.73;2.84;353.2;unspecified;1.59
1433;RSN1433_CHICHI_TAP047-E.AT2;RSN1433_CHICHI_TAP047-N.AT2;7.62;83.57;403.2;reverse;1.31
639;RSN639_WHITTIER.A_A-OBR270.AT2;RSN639_WHITTIER.A_A-OBR360.AT2;5.99;4.5;349.43;reverse;0.64
529;RSN529_PALMSPR_NPS210.AT2;RSN529_PALMSPR_NPS300.AT2;6.06;0.0;344.67;reverse;0.27
3715;RSN3715_WHITTIER.B_B-GR2090.AT2;RSN3715_WHITTIER.B_B-GR2180.AT2;5.27;16.66;285.28;reverse;1.87
416;RSN416_COALINGA_E-CHP000.AT2;RSN416_COALINGA_E-CHP090.AT2;4.89;7.97;286.41;normal;3.17
322;RSN322_COALINGA.H_H-CAK270.AT2;RSN322_COALINGA.H_H-CAK360.AT2;6.36;23.78;274.73;normal;0.4
4285;RSN4285_BTIRRENO.P_PTT000.AT2;RSN4285_BTIRRENO.P_PTT090.AT2;6.0;14.6;441.28;unspecified;0.99
1641;RSN1641_SMADRE_ALT000.AT2;RSN1641_SMADRE_ALT090.AT2;5.61;8.57;375.16;normal;0.7
2273;RSN2273_CHICHI.02_ILA013N.AT2;RSN2273_CHICHI.02_ILA013W.AT2;5.9;103.07;199.48;normal;2.24
3567;RSN3567_SMART1.05_05M09EW.AT2;RSN3567_SMART1.05_05M09NS.AT2;5.9;25.49;321.63;normal;1.46
1792;RSN1792_HECTOR_IRF360.AT2;RSN1792_HECTOR_IRF090.AT2;7.13;74.0;282.14;unspecified;0.83
73;RSN73_SFERN_L09021.AT2;RSN73_SFERN_L09291.AT2;6.61;17.22;670.84;normal;2.9
4098;RSN4098_PARK2004_C01090.AT2;RSN4098_PARK2004_C01360.AT2;6.0;1.66;326.64;unspecified;0.35
